Date,DL_length,player_id,dt_date
20050726,60,bumpn001,2005-07-26
20050727,15,backb001,2005-07-27
20050727,15,,2005-07-27
20050727,15,nixot001,2005-07-27
20050728,15,,2005-07-28
20050729,15,powej001,2005-07-29
20050729,15,hammc001,2005-07-29
20050729,15,,2005-07-29
20050730,15,lillt001,2005-07-30
20050730,15,heltt001,2005-07-30
20050731,15,wertj001,2005-07-31
20050801,60,,2005-08-01
20050801,15,,2005-08-01
20050802,15,adamt001,2005-08-02
20050803,15,washj001,2005-08-03
20050803,15,campj002,2005-08-03
20050804,15,,2005-08-04
20050805,15,,2005-08-05
20050806,15,delgc001,2005-08-06
20050806,15,hidar001,2005-08-06
20050807,15,alvaw001,2005-08-07
20050807,15,ruetk001,2005-08-07
20050807,60,kensl001,2005-08-07
20050808,15,mecij001,2005-08-08
20050808,15,miced001,2005-08-08
20050809,15,miend001,2005-08-09
20050809,15,surhb001,2005-08-09
20050809,15,ponss001,2005-08-09
20050809,15,,2005-08-09
20050809,15,millw001,2005-08-09
20050811,15,estrj001,2005-08-11
20050811,15,alvaw001,2005-08-11
20050811,15,geruj001,2005-08-11
20050811,15,camem001,2005-08-11
20050812,15,paulj001,2005-08-12
20050812,60,estes001,2005-08-12
20050812,15,aloum001,2005-08-12
20050812,15,munts001,2005-08-12
20050812,15,snelc001,2005-08-12
20050813,15,rhoda001,2005-08-13
20050813,15,castj004,2005-08-13
20050814,60,cirij001,2005-08-14
20050814,15,santj001,2005-08-14
20050814,15,wisem001,2005-08-14
20050815,15,greek002,2005-08-15
20050815,60,miced001,2005-08-15
20050815,15,whitr001,2005-08-15
20050815,15,podss001,2005-08-15
20050816,15,freer001,2005-08-16
20050817,15,clarb003,2005-08-17
20050817,15,guilc001,2005-08-17
20050820,15,mechg001,2005-08-20
20050820,15,stera001,2005-08-20
20050821,15,walkt003,2005-08-21
20050821,15,,2005-08-21
20050822,15,pereo001,2005-08-22
20050822,60,,2005-08-22
20050822,15,,2005-08-22
20050822,15,bigbl001,2005-08-22
20050823,15,,2005-08-23
